,School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
0,47 THE AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL(MS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
1,Abraham Lincoln HS(BS),Arrested,Off-Site,No,Full-Time,N,N,N,PATROL,Metal,N,None,ROBBERY,,F
2,Abraham Lincoln HS(BS),Arrested,Off-Site,No,Full-Time,N,N,N,PATROL,Metal,N,None,ROBBERY,,F
3,Abraham Lincoln HS(BS),Arrested,Off-Site,Yes,Full-Time,N,N,N,PATROL,Metal,N,None,ASSAULT,,M
4,Abraham Lincoln HS(BS),Arrested,Off-Site,No,Full-Time,N,N,Y,DB,No Restraints,N,None,ROBBERY,,F
5,Abraham Lincoln HS(BS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,N,None,,,
6,Abraham Lincoln HS(BS),Child in Crisis,On-Site,No,Full-Time,N,N,Y,,No Restraints,N,None,,,
7,Abraham Lincoln HS(BS),Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,,Unk
8,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
9,Abraham Lincoln HS(BS),PINS / Warrant,Off-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,,
10,Abraham Lincoln HS(BS),Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,Y,Physical Force,,DISCON: FIGHTING,V
11,Abraham Lincoln HS(BS),Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,DISCON: OBSCENE LANGUAGE/GESTURE,V
12,Academy for College Preparation & Career Exploration(BS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
13,Academy for Environmental Leadership(BN),Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,Metal,N,None,,"MARIJUANA, POSSESSION OF",V
14,Academy for Environmental Leadership(BN),Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,"MARIJUANA, POSSESSION OF",V
